INFO 2025-12-19 15:20:29 rc/train.py:277 Creating optimizer and scheduler
INFO 2025-12-19 15:20:29 rc/train.py:319 cfg.steps=100000 (100K)
INFO 2025-12-19 15:20:29 rc/train.py:320 dataset.num_frames=29274 (29K)
INFO 2025-12-19 15:20:29 rc/train.py:321 dataset.num_episodes=19
INFO 2025-12-19 15:20:29 rc/train.py:324 Effective batch size: 8 x 1 = 8
INFO 2025-12-19 15:20:29 rc/train.py:325 num_learnable_params=99880992 (100M)
INFO 2025-12-19 15:20:29 rc/train.py:326 num_total_params=450046176 (450M)
INFO 2025-12-19 15:44:08 rc/train.py:413 step:11K smpl:90K ep:58 epch:3.06 loss:0.039 grdn:0.519 lr:7.1e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:44:33 rc/train.py:413 step:11K smpl:91K ep:59 epch:3.12 loss:0.035 grdn:0.472 lr:7.0e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:44:59 rc/train.py:413 step:12K smpl:93K ep:60 epch:3.17 loss:0.036 grdn:0.460 lr:6.9e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:45:24 rc/train.py:413 step:12K smpl:94K ep:61 epch:3.22 loss:0.035 grdn:0.458 lr:6.8e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:45:49 rc/train.py:413 step:12K smpl:96K ep:62 epch:3.28 loss:0.033 grdn:0.441 lr:6.7e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:46:14 rc/train.py:413 step:12K smpl:98K ep:63 epch:3.33 loss:0.037 grdn:0.477 lr:6.6e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:46:40 rc/train.py:413 step:12K smpl:99K ep:64 epch:3.39 loss:0.031 grdn:0.433 lr:6.5e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:47:05 rc/train.py:413 step:13K smpl:101K ep:65 epch:3.44 loss:0.031 grdn:0.401 lr:6.4e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:47:30 rc/train.py:413 step:13K smpl:102K ep:66 epch:3.50 loss:0.031 grdn:0.440 lr:6.3e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:47:56 rc/train.py:413 step:13K smpl:104K ep:68 epch:3.55 loss:0.032 grdn:0.424 lr:6.2e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:48:21 rc/train.py:413 step:13K smpl:106K ep:69 epch:3.61 loss:0.032 grdn:0.421 lr:6.1e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:48:46 rc/train.py:413 step:13K smpl:107K ep:70 epch:3.66 loss:0.030 grdn:0.420 lr:6.0e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:49:12 rc/train.py:413 step:14K smpl:109K ep:71 epch:3.72 loss:0.030 grdn:0.416 lr:5.9e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:49:37 rc/train.py:413 step:14K smpl:110K ep:72 epch:3.77 loss:0.029 grdn:0.397 lr:5.8e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:50:03 rc/train.py:413 step:14K smpl:112K ep:73 epch:3.83 loss:0.029 grdn:0.413 lr:5.7e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:50:28 rc/train.py:413 step:14K smpl:114K ep:74 epch:3.88 loss:0.029 grdn:0.392 lr:5.6e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:50:53 rc/train.py:413 step:14K smpl:115K ep:75 epch:3.94 loss:0.032 grdn:0.432 lr:5.5e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:51:19 rc/train.py:413 step:15K smpl:117K ep:76 epch:3.99 loss:0.029 grdn:0.405 lr:5.4e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:51:44 rc/train.py:413 step:15K smpl:118K ep:77 epch:4.04 loss:0.028 grdn:0.392 lr:5.3e-05 updt_s:0.121 data_s:0.006
INFO 2025-12-19 15:52:10 rc/train.py:413 step:15K smpl:120K ep:78 epch:4.10 loss:0.029 grdn:0.372 lr:5.2e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:52:35 rc/train.py:413 step:15K smpl:122K ep:79 epch:4.15 loss:0.027 grdn:0.379 lr:5.1e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:53:00 rc/train.py:413 step:15K smpl:123K ep:80 epch:4.21 loss:0.028 grdn:0.389 lr:5.0e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:53:26 rc/train.py:413 step:16K smpl:125K ep:81 epch:4.26 loss:0.029 grdn:0.404 lr:4.9e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:53:51 rc/train.py:413 step:16K smpl:126K ep:82 epch:4.32 loss:0.028 grdn:0.372 lr:4.8e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:54:16 rc/train.py:413 step:16K smpl:128K ep:83 epch:4.37 loss:0.026 grdn:0.366 lr:4.7e-05 updt_s:0.121 data_s:0.004
INFO 2025-12-19 15:54:42 rc/train.py:413 step:16K smpl:130K ep:84 epch:4.43 loss:0.027 grdn:0.375 lr:4.6e-05 updt_s:0.122 data_s:0.003
INFO 2025-12-19 15:55:07 rc/train.py:413 step:16K smpl:131K ep:85 epch:4.48 loss:0.027 grdn:0.372 lr:4.5e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:55:32 rc/train.py:413 step:17K smpl:133K ep:86 epch:4.54 loss:0.024 grdn:0.357 lr:4.4e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:55:58 rc/train.py:413 step:17K smpl:134K ep:87 epch:4.59 loss:0.027 grdn:0.373 lr:4.3e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:56:23 rc/train.py:413 step:17K smpl:136K ep:88 epch:4.65 loss:0.026 grdn:0.349 lr:4.2e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:56:48 rc/train.py:413 step:17K smpl:138K ep:89 epch:4.70 loss:0.027 grdn:0.377 lr:4.1e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:57:14 rc/train.py:413 step:17K smpl:139K ep:90 epch:4.76 loss:0.026 grdn:0.363 lr:4.0e-05 updt_s:0.122 data_s:0.004
INFO 2025-12-19 15:57:39 rc/train.py:413 step:18K smpl:141K ep:91 epch:4.81 loss:0.025 grdn:0.350 lr:3.9e-05 updt_s:0.122 data_s:0.004
